passenger_id,survived,pclass,name,sex,age,siblings_spouses,parents_children,fare
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,7.25
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,71.2833
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,7.925
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,53.1
5,0,3,"Allen, Mr. William Henry",male,35,0,0,8.05
6,0,3,"Moran, Mr. James",male,27,0,0,8.4583
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,51.8625
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,21.075
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,11.1333
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,30.0708
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,16.7
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,26.55
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,8.05
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,31.275
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,7.8542
16,1,2,"Hewlett, Mrs. (Mary D Kingcome)",female,55,0,0,16
17,0,3,"Rice, Master. Eugene",male,2,4,1,29.125
18,1,2,"Williams, Mr. Charles Eugene",male,23,0,0,13
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,18
20,1,3,"Masselmani, Mrs. Fatima",female,22,0,0,7.225
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,26
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,13
23,1,3,"McGowan, Miss. Anna Annie",female,15,0,0,8.0292
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,35.5
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,21.075
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,31.3875
27,0,3,"Emir, Mr. Farred Chehab",male,26,0,0,7.225
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,263
29,1,3,"O'Dwyer, Miss. Ellen Nellie",female,24,0,0,7.8792
30,0,3,"Todoroff, Mr. Lalio",male,42,0,0,7.8958
