Pašvaldība;Pārbaudījums;Izsglītības iestādes nosaukums;Izglītības iestādes, kuras struktūrvienība ir iestāda nosaukums;Vidējais, %;Kārtotāju skaits;0-9%;10-19%;20-29%;30-39%;40-49%;50-59%;60-69%;70-79%;80-89%;90-100%
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;76,4;19;;;;;;2;4;3;9;1
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;74,5;29;;;1;1;1;2;3;6;9;6
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;28,9;9;;2;1;5;1;;;;;
Aizkraukles novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;43,6;9;;;2;2;2;2;1;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;70,8;29;;;;;;7;6;9;6;1
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;58,6;10;;;;1;;4;3;1;1;
Aizkraukles novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;59,8;14;;1;1;1;1;1;3;4;2;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;44,5;30;;2;7;3;7;5;3;2;;1
Aizkraukles novads;Eksāmens programmēšanā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;61,5;2;;;;;;1;;1;;
Aizkraukles novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;37,7;15;;2;1;4;7;;1;;;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Aizkraukles Profesionālā vidusskola;;45,5;48;1;4;10;6;4;8;8;6;1;
Aizkraukles novads;Eksāmens angļu valodā (profesionālās vidējās izglītības programmās 4. kurss);Aizkraukles Profesionālā vidusskola;;46,5;2;;;;;2;;;;;
